Cluster,Cluster_Lat,Cluster_Lng,RideCount
0,38.74,-77.12,3
1,38.74,-77.1,2
2,38.75,-77.18,4
3,38.75,-77.15,1
4,38.76,-77.15,24
5,38.76,-77.0,1
6,38.766806066,-77.16878265150001,2
7,38.766844,-77.150359,40
8,38.76694328634783,-77.16890037021741,69
9,38.76843000000001,-77.15650400000001,28
10,38.77,-77.18,16
11,38.77,-77.17,6
12,38.769999999999996,-77.15999999999998,12
13,38.77,-77.15,5
14,38.77,-77.14000000000001,19
15,38.77,-77.13,2
16,38.77,-77.12,1
17,38.77,-77.0,1
18,38.775639000000005,-77.160014,49
19,38.779999999999994,-77.16999999999999,10
20,38.779999999999994,-77.15999999999998,11
21,38.77999999999999,-77.14999999999999,14
22,38.78,-77.14,3
23,38.78,-77.08,2
24,38.78,-77.05,2
25,38.78,-77.02,4
26,38.78,-77.01,17
27,38.78513468728515,-77.01655023307418,346
28,38.79,-77.08,1
29,38.79,-77.07,1
30,38.790000000000006,-77.04999999999998,10
31,38.790000000000006,-77.03999999999999,14
32,38.790000000000006,-77.02,11
33,38.79,-77.01,7
34,38.790000000000006,-77.0,10
35,38.79,-76.99,1
36,38.79306475810332,-77.0494343038899,442
37,38.79680161591787,-77.00260332771259,138
38,38.7979076022571,-77.05068413792895,258
39,38.798749,-77.00103,24
40,38.79926700000001,-77.04470000000003,117
41,38.799997568,-77.129759312,1
42,38.8,-77.14,2
43,38.79999999999999,-77.13000000000001,18
44,38.8,-77.12,3
45,38.8,-77.11,8
46,38.8,-77.1,1
47,38.8,-77.08,3
48,38.8,-77.07,40
49,38.8,-77.05999999999999,46
50,38.80000000000002,-77.05000000000001,79
51,38.80000000000001,-77.03999999999999,189
52,38.8,-77.01,8
53,38.800000000000004,-77.0,6
54,38.8,-76.99,17
55,38.80008325577966,-77.12994816840677,59
56,38.800703280486104,-77.04804291573612,72
57,38.80111106723251,-77.0689533799512,205
58,38.80194631022023,-77.04029512453573,168
59,38.802572787,-77.072663367,2
60,38.80267700000001,-77.06356200000002,202
61,38.80269444,-77.072849274,1
62,38.802707076,-77.063616395,1
63,38.80273920895833,-77.08246518145833,72
64,38.80289299999998,-77.072558,168
65,38.8029539585,-77.04029446850001,2
66,38.802984238,-77.072785139,1
